	movie_title	content_rating	imdb_id	imdb_link	postername	poster_link
3955	Fifty Shades of Black	R	tt4667094	https://www.imdb.com/title/tt4667094	Fifty Shades of Black Poster	https://m.media-amazon.com/images/M/MV5BMTQ3MTg3MzY4OV5BMl5BanBnXkFtZTgwNTI4MzM1NzE@._V1_UX182_CR0,0,182,268_AL_.jpg
3956	Not Easily Broken	PG-13	tt0795438	https://www.imdb.com/title/tt0795438	Not Easily Broken Poster	https://m.media-amazon.com/images/M/MV5BMTM3MDEzMTgyNV5BMl5BanBnXkFtZTcwNzUxOTQxMg@@._V1_UX182_CR0,0,182,268_AL_.jpg
3957	A Farewell to Arms	Unrated	tt0022879	https://www.imdb.com/title/tt0022879	A Farewell to Arms Poster	https://m.media-amazon.com/images/M/MV5BMzM2ODc0NTY3OF5BMl5BanBnXkFtZTgwMjQwNzkzMjE@._V1_UX182_CR0,0,182,268_AL_.jpg
3958	The Perfect Match	R	tt4871980	https://www.imdb.com/title/tt4871980	The Perfect Match Poster	https://m.media-amazon.com/images/M/MV5BMTY2NDY5NDUzMV5BMl5BanBnXkFtZTgwMTEyNDQ3NzE@._V1_UY268_CR1,0,182,268_AL_.jpg
3959	Digimon: The Movie	PG	tt0259974	https://www.imdb.com/title/tt0259974	Digimon: The Movie Poster	https://m.media-amazon.com/images/M/MV5BMjE2NTAyMjUxMl5BMl5BanBnXkFtZTYwOTAwODQ3._V1_UX182_CR0,0,182,268_AL_.jpg
3960	Saved!	PG-13	tt0332375	https://www.imdb.com/title/tt0332375	Saved! Poster	https://m.media-amazon.com/images/M/MV5BMTQ1ODM1ODU1N15BMl5BanBnXkFtZTcwMjI5MzA3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg
3961	The Barbarian Invasions	R	tt0338135	https://www.imdb.com/title/tt0338135	The Barbarian Invasions Poster	https://m.media-amazon.com/images/M/MV5BNDdiMTg1MTctMTUzYy00ODg3LTlkZmEtNDY4NjdiMjkzZGFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg
3962	Robin and Marian	PG	tt0075147	https://www.imdb.com/title/tt0075147	Robin and Marian Poster	https://m.media-amazon.com/images/M/MV5BYjg0NDMxNzgtN2RhNy00MDkzLWIwODQtOGU5NzU5NDQzYWEwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg
3963	The Forsaken	R	tt0245120	https://www.imdb.com/title/tt0245120	The Forsaken Poster	https://m.media-amazon.com/images/M/MV5BOTRkMWQ4YTktMDIzMC00NWExLTg2MDEtOTMzY2M0NDY2NzBhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg
3964	Force 10 from Navaron	PG	tt0077572	https://www.imdb.com/title/tt0077572	Force 10 from Navarone Poster	https://m.media-amazon.com/images/M/MV5BYTNjZGYyYzktMDYyOC00NDMwLTg3MGItNjU2MGQwN2I5MjlhXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg
3965	UHF	PG-13	tt0098546	https://www.imdb.com/title/tt0098546	UHF Poster	https://m.media-amazon.com/images/M/MV5BMTAzMjE2NDg5NjZeQTJeQWpwZ15BbWU3MDAzNzI4NzQ@._V1_UX182_CR0,0,182,268_AL_.jpg
3966	Grandma's Boy	R	tt0456554	https://www.imdb.com/title/tt0456554	Grandma's Boy Poster	https://m.media-amazon.com/images/M/MV5BMDFiYzQ0NzktMGNkNy00YTQ0LTgxODgtNDViNGIxMTc1NGFjL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg
3967	Slums of Beverly Hills	R	tt0120831	https://www.imdb.com/title/tt0120831	Slums of Beverly Hills Poster	https://m.media-amazon.com/images/M/MV5BZTJmNzM0OGYtN2M3Zi00MWJkLThkNTQtMmQ4MjFkOTdlYzg3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg
3968	Once Upon a Time in the West	PG-13	tt0064116	https://www.imdb.com/title/tt0064116	Once Upon a Time in the West Poster	https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg
3969	Made	R	tt0227005	https://www.imdb.com/title/tt0227005	Made Poster	https://m.media-amazon.com/images/M/MV5BODU1ZTFjN2EtZmZkYS00MWIzLThlZjEtMzExMGY1ZjIxMGY3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg
3970	Moon	R	tt1182345	https://www.imdb.com/title/tt1182345	Moon Poster	https://m.media-amazon.com/images/M/MV5BMTgzODgyNTQwOV5BMl5BanBnXkFtZTcwNzc0NTc0Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg
